Viewer Channel,Channel Name,Call Letters (EPG),SD/HD,Channel Type,Blackout Required?,Channel Acquisition,U-FAM,U100,U200,U300,U400,,,,,,,,,,,,,,,,,,,,,,,,,
326,Cartoon Network - West,TOON-W,SD,Linear,NO,National,,YES,YES,YES,YES
327,Boomerang,BOOM,SD,Linear,NO,National,YES,,YES,YES,YES
328,qubo,qubo,SD,Linear,NO,National,YES,,,YES,YES
335,The Hub,HUB,SD,Linear,NO,National,YES,,YES,YES,YES
337,PBS KIDS Sprout,SPROUT,SD,Linear,NO,National,YES,,,YES,YES
340,Smile of a Child TV,SMILE,SD,Linear,NO,National,YES,YES,YES,YES,YES
360,Lifetime,LIFE,SD,Linear,NO,National,,YES,YES,YES,YES
362,LMN,LMN,SD,Linear,NO,National,,,YES,YES,YES
364,Lifetime Real Women,LRW,SD,Linear,NO,National,,,,,YES
365,SOAPnet,SOAP,SD,Linear,NO,National,,YES,YES,YES,YES
367,tvMall,tvMall,SD,Linear,NO,National,YES,YES,YES,YES,YES
368,Oxygen,OXGN,SD,Linear,NO,National,,YES,YES,YES,YES
372,WE,WE,SD,Linear,NO,National,,,YES,YES,YES
380,Style Network,STYLE,SD,Linear,NO,National,,,YES,YES,YES
385,Ovation,OVA,SD,Linear,NO,National,,,,YES,YES
399,AT&T U-verse Shopping 3,USHOP3,SD,Linear,NO,National,YES,YES,YES,YES,YES
400,Customer Notification,ATTN,HD,Linear,NO,National,YES,YES,YES,YES,YES
401,All About U-verse Interactive Channel,APP,APP,APP,NO,National,YES,YES,YES,YES,YES
411,Help on Demand (VoD),VIDEO,Non-Stnd,VOD,NO,National,YES,YES,YES,YES,YES
412,Shopping Multiview,APP,APP,APP,NO,National,YES,YES,YES,YES,YES
420,QVC,QVC,SD,Linear,NO,National,YES,YES,YES,YES,YES
422,HSN,HSN,SD,Linear,NO,National,YES,YES,YES,YES,YES
423,HSN Shop By Remote,APP,APP,APP,NO,National,YES,YES,YES,YES,YES
424,ShopNBC,SHPNBC,SD,Linear,NO,National,YES,YES,YES,YES,YES
428,Jewelry TV,JWLTV,SD,Linear,NO,National,YES,YES,YES,YES,YES
429,AT&T U-verse Shopping 4,USHOP4,SD,Linear,NO,National,YES,YES,YES,YES,YES
450,HGTV,HGTV,SD,Linear,NO,National,YES,YES,YES,YES,YES
452,Food Network,FOOD,SD,Linear,NO,National,YES,YES,YES,YES,YES
454,DIY Network,DIY,SD,Linear,NO,National,YES,,YES,YES,YES
456,Cooking Channel,COOK,SD,Linear,NO,National,,,YES,YES,YES
457,Food Network Application,,APP,APP,NO,National,YES,YES,YES,YES,YES
465,Destination America,DAM,SD,Linear,NO,National,,,,YES,YES
466,Discovery Fit & Health,DFH,SD,Linear,NO,National,YES,,,YES,YES
468,ION Life,ION L,SD,Linear,NO,National,,,,YES,YES
470,Wealth TV,WEALTH,SD,Linear,NO,National,,,YES,YES,YES
471,tvMall,tvMall,SD,Dual,NO,National,YES,YES,YES,YES,YES
500,MC Music Choice,,APP,APP,NO,National,YES,YES,YES,YES,YES
